time,cases
2014.673077,0
2014.692308,0
2014.711538,0
2014.730769,0
2014.75,0
2014.769231,0
2014.788462,0
2014.807692,0
2014.826923,0
2014.846154,0
2014.865385,0
2014.884615,0
2014.903846,0
2014.923077,0
2014.942308,1
2014.961538,2
2014.980769,3
2015,4
2015.019231,7
2015.038462,10
2015.057692,16
2015.076923,24
2015.096154,37
2015.115385,57
2015.134615,86
2015.153846,129
2015.173077,194
2015.192308,289
2015.211538,429
2015.230769,630
2015.25,915
2015.269231,1314
2015.288462,1858
2015.307692,2574
2015.326923,3480
2015.346154,4560
2015.365385,5747
2015.384615,6905
2015.403846,7841
2015.423077,8351
2015.442308,8308
2015.461538,7726
2015.480769,6759
2015.5,5623
2015.519231,4506
2015.538462,3520
2015.557692,2707
2015.576923,2062
2015.596154,1563
2015.615385,1183
2015.634615,894
2015.653846,676
2015.673077,511
2015.692308,387
2015.711538,293
2015.730769,223
2015.75,169
2015.769231,129
2015.788462,99
2015.807692,76
2015.826923,58
2015.846154,45
2015.865385,35
2015.884615,27
2015.903846,21
2015.923077,17
2015.942308,13
2015.961538,11
2015.980769,8
2016,7
2016.019231,6
2016.038462,5
2016.057692,4
2016.076923,3
2016.096154,3
2016.115385,2
2016.134615,2
2016.153846,2
2016.173077,1
2016.192308,1
2016.211538,1
2016.230769,1
2016.25,1
2016.269231,1
2016.288462,1
2016.307692,1
2016.326923,1
2016.346154,1
2016.365385,1
2016.384615,1
2016.403846,2
2016.423077,2
2016.442308,2
2016.461538,3
2016.480769,3
2016.5,4
2016.519231,5
2016.538462,6
2016.557692,7
2016.576923,9
2016.596154,12
2016.615385,16
2016.634615,21
2016.653846,29
2016.673077,39
2016.692308,53
2016.711538,74
2016.730769,105
2016.75,149
2016.769231,213
2016.788462,307
2016.807692,446
2016.826923,651
2016.846154,953
2016.865385,1396
2016.884615,2034
2016.903846,2934
2016.923077,4155
2016.942308,5713
2016.961538,7513
2016.980769,9268
2017,10493
2017.019231,10683
2017.038462,9674
2017.057692,7846
2017.076923,5852
2017.096154,4161
2017.115385,2909
2017.134615,2037
2017.153846,1442
2017.173077,1033
2017.192308,749
2017.211538,549
2017.230769,406
2017.25,302
2017.269231,226
2017.288462,170
2017.307692,128
2017.326923,97
2017.346154,74
2017.365385,56
2017.384615,43
2017.403846,33
2017.423077,25
2017.442308,19
2017.461538,14
2017.480769,11
2017.5,8
2017.519231,6
2017.538462,5
2017.557692,3
2017.576923,3
2017.596154,2
2017.615385,1
2017.634615,1
2017.653846,1
2017.673077,0
2017.692308,0
2017.711538,0
2017.730769,0
2017.75,0
2017.769231,0
2017.788462,0
2017.807692,0
2017.826923,0
2017.846154,0
2017.865385,0
2017.884615,0
2017.903846,0
2017.923077,0
2017.942308,0
2017.961538,0
2017.980769,0
2018,0
2018.019231,0
2018.038462,0
2018.057692,0
2018.076923,0
2018.096154,0
2018.115385,0
2018.134615,0
2018.153846,0
2018.173077,0
2018.192308,0
2018.211538,0
2018.230769,0
2018.25,0
2018.269231,0
2018.288462,0
2018.307692,0
2018.326923,0
2018.346154,0
2018.365385,0
2018.384615,0
2018.403846,0
2018.423077,0
2018.442308,0
2018.461538,0
2018.480769,0
2018.5,0
2018.519231,0
2018.538462,0
2018.557692,0
2018.576923,0
2018.596154,0
2018.615385,0
2018.634615,0
2018.653846,0
2018.673077,0
